x,y,b_mag,b_mag_err,v_mag,v_mag_err,r_mag,r_mag_err,i_mag,i_mag_err
552,172,17.08,0.41,15.99,0.19,15.4,0.18,14.75,0.19
647,174,15.64,0.21,,,,,,
53,175,17.66,0.65,16.78,0.37,16.18,0.34,15.25,0.27
516,175,14.03,0.19,12.84,0.09,12.1,0.09,11.2,0.09
156,177,15.64,0.21,14.95,0.11,14.51,0.12,13.86,0.12
451,177,15.3,0.2,,,,,,
382,178,15.43,0.2,14.55,0.1,13.97,0.1,13.23,0.1
423,179,14.69,0.19,13.97,0.09,13.49,0.1,12.82,0.1
477,180,15.07,0.2,,,14.47,0.12,,
556,180,16.47,0.28,15.44,0.14,14.83,0.13,14.08,0.13
397,181,15.78,0.22,15.06,0.11,14.56,0.12,13.85,0.12
168,182,14.63,0.19,13.77,0.09,13.24,0.1,12.5,0.1
293,182,15.79,0.22,14.93,0.11,14.36,0.11,13.62,0.11
434,182,15.77,0.22,15.01,0.11,14.46,0.11,13.71,0.11
467,183,15.36,0.2,14.67,0.1,14.23,0.11,13.59,0.11
681,184,15.62,0.21,14.94,0.11,14.52,0.12,13.93,0.12
328,185,15.44,0.2,14.59,0.1,14.02,0.1,13.31,0.1
89,187,15.68,0.21,15.13,0.12,14.73,0.13,14.16,0.13
532,187,16.76,0.33,15.86,0.18,15.3,0.17,14.57,0.17
215,189,16.4,0.27,15.65,0.15,15.12,0.15,14.36,0.15
493,189,16.43,0.27,,,15.03,0.15,14.37,0.15
690,189,18.37,1.21,16.66,0.33,16.03,0.3,15.26,0.28
321,192,14.94,0.19,14.04,0.09,13.48,0.1,12.73,0.1
442,192,15.15,0.2,,,14.17,0.11,13.56,0.11
349,193,17.17,0.44,16.44,0.28,15.88,0.26,,
515,193,15.86,0.22,15.4,0.13,15.18,0.16,14.67,0.18
49,194,19.54,3.51,17.81,0.93,17.08,0.75,16.31,0.69
97,194,16.9,0.36,16.14,0.22,15.69,0.23,15.06,0.24
403,194,16.75,0.33,16.03,0.2,15.46,0.19,14.66,0.18
170,195,15.46,0.2,15.28,0.12,15.08,0.15,14.8,0.19
528,196,16.48,0.28,15.72,0.16,15.3,0.17,14.71,0.18
311,197,15.16,0.2,14.77,0.1,14.44,0.11,13.85,0.12
332,199,16.46,0.28,,,,,,
362,200,14.76,0.19,14.02,0.09,13.61,0.1,12.98,0.1
479,200,15.36,0.2,14.8,0.1,14.39,0.11,13.79,0.11
420,201,15.39,0.2,14.79,0.1,14.34,0.11,13.72,0.11
202,202,16.41,0.27,15.42,0.13,14.87,0.13,14.15,0.13
567,202,13.87,0.19,13.59,0.09,13.44,0.1,13.09,0.1
60,204,15.27,0.2,15.11,0.12,15.09,0.15,14.93,0.21
468,204,15.61,0.21,,,,,,
287,205,16.38,0.27,15.46,0.14,14.94,0.14,14.16,0.13
222,207,15.33,0.2,15.13,0.12,14.91,0.14,14.45,0.15
152,208,20.36,7.45,17.61,0.77,16.99,0.69,16.14,0.59
372,208,16.17,0.24,15.46,0.14,14.94,0.14,14.28,0.14
679,209,15.96,0.23,14.91,0.11,,,,
190,209,17.61,0.62,16.53,0.3,16.2,0.34,15.64,0.38
310,210,15.62,0.21,14.7,0.1,14.11,0.11,13.36,0.1
348,210,14.92,0.19,14.47,0.1,14.2,0.11,13.73,0.11
334,213,16.14,0.24,15.32,0.13,14.76,0.13,14.07,0.13
600,212,20.08,5.78,17.44,0.66,16.46,0.43,15.69,0.39
420,213,15.69,0.21,14.97,0.11,14.44,0.11,13.75,0.11
364,214,16.02,0.23,15.27,0.12,,,14.08,0.13
389,214,14.49,0.19,,,13.66,0.1,13.12,0.1
693,213,17.18,0.44,16.38,0.26,15.75,0.24,14.99,0.22
238,215,15.04,0.19,14.38,0.09,13.78,0.1,13.1,0.1
30,217,14.89,0.19,13.96,0.09,13.38,0.1,12.62,0.1
229,218,14.04,0.19,12.95,0.09,12.28,0.09,11.41,0.09
345,220,16.47,0.28,,,,,14.6,0.17
680,221,17.67,0.66,16.55,0.3,15.92,0.27,15.13,0.25
512,222,18.83,1.83,17.18,0.53,16.62,0.5,16.02,0.53
592,222,14.99,0.19,13.95,0.09,13.31,0.1,12.52,0.1
246,224,15.59,0.21,14.77,0.1,14.15,0.11,13.4,0.1
497,224,15.1,0.2,14.71,0.1,14.47,0.12,14.06,0.13
352,226,16.28,0.26,,,15.06,0.15,,
394,229,15.46,0.2,14.57,0.1,,,,
334,231,14.76,0.19,13.89,0.09,,,12.58,0.1
425,231,15.65,0.21,14.85,0.11,,,,
488,231,16.95,0.37,16.54,0.3,16.13,0.32,15.43,0.32
24,232,17.77,0.72,16.7,0.34,16.14,0.33,15.4,0.31
237,233,16.13,0.24,15.38,0.13,14.79,0.13,14.03,0.12
509,233,16.99,0.38,,,,,,
282,234,17.42,0.53,16.45,0.28,15.98,0.28,15.18,0.26
344,234,15.58,0.21,14.78,0.1,14.17,0.11,13.42,0.1
218,235,15.31,0.2,15.11,0.12,15.0,0.14,14.66,0.18
614,235,15.58,0.21,14.84,0.1,14.32,0.11,13.68,0.11
535,236,15.71,0.21,15.0,0.11,14.55,0.12,13.94,0.12
628,236,16.67,0.31,15.56,0.15,14.93,0.14,14.15,0.13
402,237,13.21,0.19,12.06,0.09,11.35,0.09,10.46,0.09
458,237,14.49,0.19,13.53,0.09,12.92,0.1,,
467,237,14.97,0.19,14.26,0.09,13.77,0.1,13.06,0.1
328,238,16.22,0.25,15.56,0.14,,,13.64,0.11
450,240,15.46,0.2,14.59,0.1,13.89,0.1,,
572,239,18.27,1.11,17.04,0.46,16.55,0.46,16.01,0.52
68,241,16.49,0.28,15.44,0.14,14.9,0.14,14.18,0.13
113,241,16.44,0.27,15.46,0.14,14.86,0.13,14.08,0.13
17,243,15.5,0.21,15.04,0.11,14.76,0.13,14.38,0.15
384,244,16.26,0.25,,,,,,
309,246,14.91,0.19,13.94,0.09,13.35,0.1,12.58,0.1
653,246,15.4,0.2,14.56,0.1,14.03,0.1,13.33,0.1
200,248,13.99,0.19,12.77,0.09,12.06,0.09,11.16,0.09
419,248,16.39,0.27,15.81,0.17,,,,
498,248,14.74,0.19,13.77,0.09,13.18,0.1,12.4,0.09
212,249,15.1,0.2,,,13.58,0.1,12.79,0.1
638,252,15.63,0.21,15.0,0.11,14.56,0.12,14.03,0.12
568,256,15.49,0.2,14.78,0.1,14.35,0.11,13.75,0.11
613,256,16.4,0.27,,,,,14.03,0.12
412,257,16.32,0.26,,,15.12,0.15,14.41,0.15
504,258,15.14,0.2,14.69,0.1,14.45,0.11,13.95,0.12
383,260,15.02,0.19,14.37,0.09,13.76,0.1,13.14,0.1
514,260,16.31,0.26,15.63,0.15,15.12,0.15,14.49,0.16
318,263,15.51,0.21,14.6,0.1,14.06,0.1,13.33,0.1
39,264,17.21,0.45,16.24,0.23,15.89,0.27,15.36,0.3
484,264,15.31,0.2,14.55,0.1,14.0,0.1,13.34,0.1
182,268,16.35,0.26,15.48,0.14,14.89,0.14,14.11,0.13
529,268,14.97,0.19,14.0,0.09,13.38,0.1,12.61,0.1
589,268,19.43,3.18,16.74,0.35,15.81,0.25,14.75,0.19
280,269,16.29,0.26,15.55,0.14,15.07,0.15,14.4,0.15
517,269,15.3,0.2,14.69,0.1,,,13.62,0.11
325,270,16.59,0.3,15.82,0.17,15.27,0.17,14.57,0.17
416,271,15.03,0.19,14.72,0.1,14.51,0.12,14.05,0.13
485,273,14.78,0.19,,,,,,
476,274,14.99,0.19,,,,,,
292,275,15.23,0.2,14.89,0.11,14.74,0.13,14.33,0.14
267,276,17.37,0.51,16.51,0.29,15.94,0.28,15.06,0.23
307,276,15.78,0.22,15.05,0.11,14.57,0.12,13.85,0.12
434,276,14.84,0.19,14.33,0.09,,,,
460,277,16.54,0.29,15.81,0.17,15.31,0.17,14.55,0.16
333,277,16.75,0.33,16.03,0.2,15.37,0.18,14.48,0.16
349,279,14.05,0.19,,,12.36,0.09,,
16,280,15.71,0.21,15.13,0.12,14.77,0.13,14.31,0.14
123,280,15.55,0.21,14.61,0.1,14.01,0.1,13.27,0.1
608,283,17.25,0.46,16.21,0.23,15.75,0.24,15.22,0.27
138,284,17.68,0.66,,,,,,
452,283,16.07,0.24,,,14.86,0.13,14.16,0.13
393,284,15.94,0.23,15.28,0.12,14.6,0.12,13.79,0.11
544,285,16.93,0.37,16.08,0.21,15.54,0.2,14.81,0.19
343,286,14.43,0.19,13.53,0.09,12.91,0.09,12.16,0.09
430,286,15.72,0.21,15.0,0.11,14.44,0.11,13.74,0.11
253,288,14.98,0.19,14.26,0.09,13.78,0.1,,
301,291,16.65,0.31,15.73,0.16,15.24,0.16,14.52,0.16
417,292,14.62,0.19,13.69,0.09,13.09,0.1,12.3,0.09
476,292,13.68,0.19,12.52,0.09,11.82,0.09,10.95,0.09
96,293,15.14,0.2,14.94,0.11,14.89,0.14,14.75,0.19
214,296,17.02,0.39,16.24,0.23,15.76,0.24,14.97,0.22
327,296,16.6,0.3,15.99,0.19,15.42,0.19,14.67,0.18
339,295,15.94,0.23,,,,,,
235,297,18.29,1.13,18.55,1.82,17.68,1.29,16.61,0.9
171,299,17.93,0.82,,,,,,
379,299,14.79,0.19,,,,,,
522,300,13.96,0.19,12.83,0.09,12.13,0.09,11.27,0.09
267,302,17.4,0.52,16.42,0.27,15.92,0.27,15.23,0.27
295,302,15.3,0.2,14.97,0.11,14.82,0.13,14.44,0.15
425,302,14.12,0.19,13.06,0.09,12.41,0.09,11.58,0.09
437,302,15.42,0.2,,,13.88,0.1,13.1,0.1
687,302,17.42,0.53,16.14,0.22,15.6,0.21,14.9,0.21
18,306,19.51,3.44,17.41,0.65,16.95,0.67,16.3,0.68
227,305,17.41,0.53,17.03,0.46,16.98,0.68,16.62,0.91
358,306,15.08,0.2,14.76,0.1,14.45,0.11,13.98,0.12
454,309,15.12,0.2,14.22,0.09,13.65,0.1,12.89,0.1
499,312,16.5,0.28,15.78,0.17,15.28,0.17,14.58,0.17
388,311,16.86,0.35,16.21,0.23,15.84,0.25,15.11,0.24
240,314,16.59,0.3,16.11,0.21,15.88,0.26,15.25,0.27
536,316,15.85,0.22,15.61,0.15,15.51,0.2,15.22,0.27
474,317,15.96,0.23,15.13,0.12,14.55,0.12,13.81,0.12
358,318,13.98,0.19,12.9,0.09,12.24,0.09,11.38,0.09
448,316,16.01,0.23,15.23,0.12,14.5,0.12,13.82,0.12
520,321,17.36,0.51,,,16.12,0.32,,
172,321,17.54,0.59,16.69,0.34,16.21,0.34,15.53,0.34
562,321,14.2,0.19,13.1,0.09,12.41,0.09,11.56,0.09
217,322,15.61,0.21,15.0,0.11,14.61,0.12,14.03,0.13
380,323,15.88,0.22,,,,,,
